OID,FID,GRP,LYR
512,18578,7,3,
513,18579,26,2,
514,18580,7,3,
515,18581,1,8,
516,18582,16,3,
517,18583,7,3,
518,18584,7,3,
519,18585,26,2,
520,18586,1,9,
521,18587,38,1,
522,18588,38,1,
523,18589,5,4,
524,18590,26,2,
525,18591,14,3,
526,18592,5,4,
527,18593,1,8,
528,18594,1,9,
529,18595,7,3,
530,18596,13,2,
531,18597,26,2,
532,18598,3,8,
533,18599,6,6,
534,18600,1,9,
535,18601,1,9,
536,18602,5,4,
537,18603,3,8,
538,18604,38,1,
539,18605,-1,-1,
540,18606,1,9,
541,18607,7,3,
542,18608,1,9,
543,18609,5,4,
544,18610,3,8,
545,18611,6,6,
546,18613,5,4,
547,18614,16,3,
548,18615,7,3,
549,18616,38,1,
550,18617,15,2,
551,18618,7,3,
552,18619,5,2,
553,18620,1,8,
554,18621,3,8,
555,18622,7,4,
556,18623,5,4,
557,18624,7,3,
558,18625,7,4,
559,18626,3,8,
560,18627,1,10,
561,18628,7,4,
562,18629,55,0,
563,18630,1,9,
564,18631,5,4,
565,18632,7,4,
566,18633,56,0,
567,18634,3,8,
568,18635,7,4,
569,18636,7,4,
570,18637,7,4,
571,18638,5,4,
572,18639,3,8,
573,18640,7,4,
574,18641,22,2,
575,18642,7,3,
576,18643,7,4,
577,18644,7,4,
578,18645,16,3,
579,18646,7,4,
580,18647,14,3,
581,18648,3,8,
582,18649,5,4,
583,18650,7,4,
584,18651,5,4,
585,18652,5,4,
586,18653,-1,-1,
587,18654,1,9,
588,18655,7,4,
589,18656,35,2,
590,18657,7,3,
591,18658,38,2,
592,18659,7,4,
593,18660,3,8,
594,18661,5,4,
595,18662,7,4,
596,18663,7,4,
597,18664,3,8,
598,18665,1,7,
599,18666,57,0,
600,18667,-1,-1,
601,18668,7,4,
602,18669,5,4,
603,18670,58,0,
604,18671,7,4,
605,18672,1,9,
606,18673,7,4,
607,18674,7,4,
608,18675,1,10,
609,18676,31,3,
610,18677,5,2,
611,18678,46,1,
612,18679,5,2,
613,18680,3,8,
614,18681,3,8,
615,18682,1,10,
616,18683,5,4,
617,18684,7,4,
618,18685,59,0,
619,18686,7,4,
620,18687,14,3,
621,18688,7,4,
622,18689,1,10,
623,18690,7,4,
624,18691,15,2,
625,18692,1,9,
626,18693,7,4,
627,18694,-1,-1,
628,18695,7,4,
629,18696,60,0,
630,18697,13,3,
631,18698,1,10,
632,18699,42,1,
633,18700,5,2,
634,18701,7,3,
635,18702,1,10,
636,18703,7,4,
637,18704,5,2,
638,18705,5,5,
639,18706,31,1,
640,18707,38,2,
641,18708,-1,-1,
642,18709,7,4,
643,18710,61,0,
644,18711,-1,-1,
645,18712,5,5,
646,18713,-1,-1,
647,18714,-1,-1,
648,18715,38,2,
649,18716,17,4,
650,18717,-1,-1,
651,18718,7,4,
652,18719,62,0,
653,18720,5,5,
654,18721,7,4,
655,18722,-1,-1,
656,18723,6,7,
657,18724,7,4,
658,18725,7,4,
659,18726,7,4,
660,18727,6,7,
661,18728,7,4,
662,18729,7,4,
663,18730,7,4,
664,18731,63,0,
665,18732,7,4,
666,18733,-1,-1,
667,18734,3,8,
668,18735,11,3,
669,18736,3,8,
670,18737,5,3,
671,18738,6,7,
672,18739,1,10,
673,18740,7,4,
674,18741,3,8,
675,18742,7,4,
676,18743,3,8,
677,18744,42,1,
678,18745,1,10,
679,18746,-1,-1,
680,18747,7,4,
681,18748,3,8,
682,18749,3,8,
683,18750,35,2,
684,18751,7,4,
685,18752,1,10,
686,18753,7,4,
687,18754,13,3,
688,18755,7,4,
689,18756,15,3,
690,18757,7,4,
691,18758,1,10,
692,18759,7,4,
693,18760,-1,-1,
694,18761,1,10,
695,18762,3,8,
696,18763,1,10,
697,18764,7,4,
698,18765,7,4,
699,18766,1,10,
700,18767,7,4,
701,18768,64,0,
702,18769,11,3,
703,18770,54,1,
704,18771,65,0,
705,18772,7,4,
706,18773,1,10,
707,18774,-1,-1,
708,18775,13,3,
709,18776,3,9,
710,18777,5,2,
711,18778,5,2,
712,18779,1,7,
713,18780,7,4,
714,18781,7,4,
715,18782,5,3,
716,18783,5,3,
717,18784,1,10,
718,18785,36,2,
719,18786,7,4,
720,18787,3,9,
721,18788,1,10,
722,18789,5,5,
723,18790,7,4,
724,18791,38,2,
725,18792,25,2,
726,18793,13,3,
727,18794,7,4,
728,18795,3,9,
729,18796,-1,-1,
730,18797,7,4,
731,18798,3,9,
732,18799,7,4,
733,18800,7,4,
734,18801,1,10,
735,18802,15,3,
736,18803,3,9,
737,18804,7,4,
738,18805,-1,-1,
739,18806,1,10,
740,18807,1,11,
741,18808,7,5,
742,18809,1,10,
743,18810,66,0,
744,18811,7,4,
745,18812,1,10,
746,18813,67,0,
747,18814,1,10,
748,18815,13,3,
749,18816,1,10,
750,18817,7,4,
751,18818,7,4,
752,18819,-1,-1,
753,18820,1,10,
754,18821,5,5,
755,18822,38,2,
756,18823,-1,-1,
757,18824,7,4,
758,18825,7,5,
759,18826,1,10,
760,18827,6,7,
761,18828,7,5,
762,18829,1,10,
763,18830,-1,-1,
764,18831,3,9,
765,18832,1,10,
766,18833,54,1,
767,18834,7,4,
768,18835,7,4,
769,18836,1,11,
770,18837,7,4,
771,18838,46,1,
772,18839,7,4,
773,18840,7,4,
774,18841,-1,-1,
775,18842,7,4,
776,18843,1,11,
777,18844,3,9,
778,18845,68,0,
779,18846,5,3,
780,18847,7,5,
781,18848,5,6,
782,18849,7,4,
783,18850,7,4,
784,18851,1,10,
785,18852,7,4,
786,18853,5,6,
787,18854,25,2,
788,18855,1,11,
789,18856,7,5,
790,18857,7,4,
791,18858,16,4,
792,18859,3,9,
793,18860,5,6,
794,18861,15,3,
795,18862,1,8,
796,18863,7,4,
797,18864,-1,-1,
798,18865,7,4,
799,18866,7,4,
800,18867,5,6,
801,18868,7,4,
802,18869,1,11,
803,18870,7,4,
804,18871,1,11,
805,18872,1,11,
806,18873,16,4,
807,18874,7,5,
808,18875,1,11,
809,18876,-1,-1,
810,18877,7,4,
811,18878,7,5,
812,18879,7,4,
813,18880,7,5,
814,18881,11,4,
815,18882,69,0,
816,18883,13,4,
817,18884,7,5,
818,18885,1,10,
819,18886,3,9,
820,18887,7,4,
821,18889,3,9,
822,18890,-1,-1,
823,18891,7,4,
824,18892,3,9,
825,18893,1,11,
826,18894,1,11,
827,18895,62,1,
828,18896,1,11,
829,18897,1,11,
830,18898,3,9,
831,18899,7,4,
832,18900,7,5,
833,18901,7,4,
834,18902,3,9,
835,18903,7,4,
836,18904,1,11,
837,18905,1,11,
838,18906,7,4,
839,18907,-1,-1,
840,18908,13,3,
841,18909,-1,-1,
842,18910,7,4,
843,18911,47,1,
844,18912,1,10,
845,18913,7,4,
846,18914,1,11,
847,18915,16,4,
848,18916,7,4,
849,18917,70,0,
850,18918,7,4,
851,18919,1,11,
852,18920,-1,-1,
853,18921,-1,-1,
854,18922,3,9,
855,18923,6,8,
856,18924,7,4,
857,18925,-1,-1,
858,18926,7,4,
859,18927,1,11,
860,18928,3,10,
861,18929,3,10,
862,18930,7,5,
863,18931,16,4,
864,18932,7,5,
865,18933,7,4,
866,18934,1,8,
867,18935,65,1,
868,18936,1,11,
869,18937,3,9,
870,18938,47,1,
871,18939,7,4,
872,18940,5,3,
873,18941,7,5,
874,18942,1,11,
875,18943,7,4,
876,18944,1,11,
877,18945,16,4,
878,18946,1,11,
879,18947,1,11,
880,18948,7,5,
881,18949,7,4,
882,18950,1,11,
883,18951,7,5,
884,18952,7,4,
885,18953,7,4,
886,18954,7,5,
887,18955,7,4,
888,18956,3,10,
889,18957,1,11,
890,18958,-1,-1,
891,18959,1,11,
892,18960,7,5,
893,18961,3,10,
894,18962,31,4,
895,18963,7,5,
896,18964,17,5,
897,18965,-1,-1,
898,18966,1,11,
899,18967,7,5,
900,18968,63,1,
901,18969,3,9,
902,18970,71,0,
903,18971,3,10,
904,18972,1,11,
905,18973,31,4,
906,18974,7,5,
907,18975,1,11,
908,18976,1,11,
909,18977,72,0,
910,18978,1,11,
911,18979,1,11,
912,18980,7,5,
913,18981,63,1,
914,18982,7,5,
915,18983,59,1,
916,18984,1,11,
917,18985,7,5,
918,18986,1,11,
919,18987,3,10,
920,18988,36,3,
921,18989,1,10,
922,18990,1,11,
923,18991,1,11,
924,18992,16,4,
925,18993,38,3,
926,18994,7,5,
927,18995,7,5,
928,18996,16,4,
929,18997,1,11,
930,18998,7,5,
931,18999,35,3,
932,19000,3,10,
933,19001,7,5,
934,19002,1,11,
935,19003,13,4,
936,19004,1,11,
937,19005,7,5,
938,19006,31,4,
939,19007,1,11,
940,19008,7,5,
941,19009,1,11,
942,19010,7,5,
943,19011,7,5,
944,19012,13,4,
945,19013,3,10,
946,19014,-1,-1,
947,19015,1,11,
948,19016,3,10,
949,19017,1,11,
950,19018,3,10,
951,19019,31,2,
952,19020,7,5,
953,19021,73,0,
954,19022,7,5,
955,19023,1,11,
956,19024,1,12,
957,19025,7,5,
958,19026,-1,-1,
959,19027,7,5,
960,19028,58,1,
961,19029,1,11,
962,19030,1,11,
963,19031,74,0,
964,19032,75,0,
965,19033,1,8,
966,19034,16,4,
967,19035,1,11,
968,19036,1,11,
969,19037,1,11,
970,19038,1,11,
971,19039,1,11,
972,19040,53,1,
973,19041,1,11,
974,19042,7,5,
975,19043,7,5,
976,19044,1,11,
977,19045,7,5,
978,19046,7,6,
979,19047,-1,-1,
980,19048,31,4,
981,19049,31,4,
982,19050,3,10,
983,19051,1,8,
984,19052,1,11,
985,19053,16,4,
986,19054,1,11,
987,19055,1,11,
988,19056,1,11,
989,19057,7,5,
990,19058,7,5,
991,19059,3,10,
992,19060,76,0,
993,19061,25,3,
994,19062,1,11,
995,19063,7,5,
996,19064,53,1,
997,19065,1,11,
998,19066,7,5,
999,19067,3,10,
1000,19068,3,10,
1001,19069,7,5,
1002,19070,7,5,
1003,19071,7,6,
1004,19072,3,10,
1005,19073,7,6,
1006,19074,3,9,
1007,19075,-1,-1,
1008,19076,1,11,
1009,19077,1,11,
1010,19078,1,11,
1011,19079,1,11,
1012,19080,1,11,
1013,19081,1,11,
1014,19082,3,10,
1015,19083,3,10,
1016,19084,3,10,
1017,19085,1,11,
1018,19086,1,12,
1019,19087,1,12,
1020,19088,25,3,
1021,19089,1,11,
1022,19090,77,0,
1023,19091,1,11,
1024,19092,1,7,
1025,19093,1,11,
1026,19094,1,11,
1027,19096,1,11,
1028,19097,7,5,
1029,19098,1,11,
1030,19099,25,3,
1031,19100,1,11,
1032,19101,1,11,
1033,19102,1,12,
1034,19103,1,11,
1035,19104,1,11,
1036,19105,1,11,
1037,19106,3,10,
1038,19107,3,10,
1039,19108,7,6,
1040,19109,1,11,
1041,19110,1,11,
1042,19111,1,11,
1043,19112,78,0,
1044,19113,1,11,
1045,19114,59,1,
1046,19115,1,11,
1047,19116,1,11,
1048,19117,13,4,
1049,19118,1,12,
1050,19119,3,10,
1051,19120,1,11,
1052,19121,7,6,
1053,19122,1,11,
1054,19123,1,11,
1055,19124,1,11,
1056,19125,1,11,
1057,19126,1,11,
1058,19127,-1,-1,
1059,19128,1,11,
1060,19129,79,0,
1061,19130,36,3,
1062,19131,80,0,
1063,19132,34,2,
1064,19133,1,12,
1065,19134,1,12,
1066,19135,1,12,
1067,19136,1,12,
1068,19137,3,10,
1069,19138,1,11,
1070,19139,7,6,
1071,19140,1,11,
1072,19141,1,11,
1073,19142,15,4,
1074,19143,3,10,
1075,19144,16,5,
1076,19145,1,12,
1077,19146,1,11,
1078,19147,15,4,
1079,19148,3,10,
1080,19149,66,1,
1081,19150,1,12,
1082,19151,31,4,
1083,19152,1,12,
1084,19153,3,10,
1085,19154,1,12,
1086,19155,1,11,
1087,19156,3,10,
1088,19157,1,12,
1089,19158,-1,-1,
1090,19159,1,11,
1091,19160,1,12,
1092,19161,1,12,
1093,19162,-1,-1,
1094,19163,7,4,
1095,19164,1,12,
1096,19165,1,12,
1097,19166,1,12,
1098,19167,81,0,
1099,19169,1,12,
1100,19170,5,3,
1101,19171,1,12,
1102,19172,1,8,
1103,19173,7,6,
1104,19174,1,12,
1105,19176,-1,-1,
1106,19177,82,0,
1107,19178,31,2,
1108,19179,3,10,
1109,19180,1,12,
1110,19181,1,12,
1111,19182,3,10,
1112,19183,1,12,
1113,19184,1,12,
1114,19185,1,12,
1115,19186,3,10,
1116,19187,7,6,
1117,19188,3,9,
1118,19189,1,12,
1119,19190,7,5,
1120,19191,3,11,
1121,19192,1,12,
1122,19193,-1,-1,
1123,19194,1,12,
1124,19195,1,12,
1125,19196,16,5,
1126,19197,6,9,
1127,19198,-1,-1,
1128,19199,3,10,
1129,19200,7,6,
1130,19201,1,12,
1131,19202,1,12,
1132,19203,1,12,
1133,19204,3,11,
1134,19205,13,5,
1135,19206,1,12,
1136,19207,1,12,
1137,19208,1,11,
1138,19209,1,12,
1139,19210,83,0,
1140,19211,1,12,
1141,19212,16,5,
1142,19213,1,12,
1143,19214,1,12,
1144,19215,7,6,
1145,19216,7,6,
1146,19217,1,12,
1147,19218,1,12,
1148,19219,5,4,
1149,19220,1,12,
1150,19221,1,12,
1151,19222,84,0,
1152,19223,3,11,
1153,19224,1,12,
1154,19225,1,12,
1155,19226,1,11,
1156,19227,1,12,
1157,19228,3,11,
1158,19229,1,12,
1159,19230,1,12,
1160,19231,1,12,
1161,19232,1,12,
1162,19233,59,2,
1163,19234,1,12,
1164,19235,1,12,
1165,19236,1,12,
1166,19237,3,10,
1167,19238,1,11,
1168,19239,7,6,
1169,19240,1,12,
1170,19241,1,12,
1171,19242,3,11,
1172,19243,1,12,
1173,19244,1,9,
1174,19245,7,6,
1175,19246,1,12,
1176,19247,36,4,
1177,19248,1,12,
1178,19249,1,12,
1179,19250,1,12,
1180,19251,1,12,
1181,19252,-1,-1,
1182,19253,1,11,
1183,19254,1,12,
1184,19255,3,11,
1185,19256,1,12,
1186,19257,-1,-1,
1187,19258,1,11,
1188,19259,1,12,
1189,19260,1,12,
1190,19261,1,12,
1191,19262,50,1,
1192,19263,1,12,
1193,19264,1,12,
1194,19265,1,12,
1195,19266,1,12,
1196,19267,1,12,
1197,19268,1,12,
1198,19269,1,11,
1199,19270,1,12,
1200,19271,1,11,
1201,19272,58,2,
1202,19273,1,13,
1203,19274,1,12,
1204,19275,1,12,
1205,19276,1,12,
1206,19277,16,5,
1207,19278,13,5,
1208,19279,1,12,
1209,19280,16,5,
1210,19281,3,11,
1211,19282,1,8,
1212,19283,7,6,
1213,19284,1,12,
1214,19285,25,4,
1215,19286,1,12,
1216,19287,1,12,
1217,19288,3,10,
1218,19289,1,11,
1219,19290,-1,-1,
1220,19291,1,12,
1221,19292,1,13,
1222,19293,7,6,
1223,19294,3,11,
1224,19295,7,6,
1225,19296,59,2,
1226,19297,1,12,
1227,19298,1,12,
1228,19299,1,12,
1229,19300,3,11,
1230,19301,1,12,
1231,19302,1,12,
1232,19303,1,12,
1233,19304,1,12,
1234,19305,1,12,
1235,19306,11,5,
1236,19307,15,4,
1237,19308,15,4,
1238,19310,1,12,
1239,19311,1,12,
1240,19312,25,4,
1241,19313,1,12,
1242,19314,3,11,
1243,19315,24,3,
1244,19316,1,12,
1245,19317,1,12,
1246,19318,1,12,
1247,19319,1,12,
1248,19320,1,13,
1249,19321,1,13,
1250,19322,-1,-1,
1251,19323,1,13,
1252,19324,1,13,
1253,19325,1,12,
1254,19326,1,12,
1255,19327,-1,-1,
1256,19328,15,4,
1257,19329,1,13,
1258,19330,7,6,
1259,19331,13,4,
1260,19332,1,12,
1261,19333,58,2,
1262,19334,59,2,
1263,19335,68,1,
1264,19336,1,12,
1265,19337,1,12,
1266,19338,7,6,
1267,19339,5,4,
1268,19340,7,6,
1269,19341,31,5,
1270,19342,3,11,
1271,19343,1,12,
1272,19344,1,13,
1273,19345,1,12,
1274,19346,1,13,
1275,19347,15,4,
1276,19348,16,5,
1277,19349,16,5,
1278,19350,5,3,
1279,19351,1,12,
1280,19352,5,4,
1281,19353,58,2,
1282,19354,1,8,
1283,19355,1,12,
1284,19356,16,3,
1285,19357,1,12,
1286,19358,1,13,
1287,19359,3,11,
1288,19360,7,6,
1289,19361,1,12,
1290,19362,1,12,
1291,19363,1,12,
1292,19364,-1,-1,
1293,19365,1,13,
1294,19366,1,13,
1295,19367,-1,-1,
1296,19368,1,12,
1297,19369,7,7,
1298,19370,1,13,
1299,19371,1,12,
1300,19373,15,5,
1301,19374,1,13,
1302,19375,16,6,
1303,19376,1,13,
1304,19377,1,12,
1305,19378,3,11,
1306,19379,-1,-1,
1307,19380,1,12,
1308,19381,1,13,
1309,19382,1,12,
1310,19383,1,12,
1311,19384,1,12,
1312,19385,1,13,
1313,19386,7,7,
1314,19387,1,13,
1315,19388,25,4,
1316,19389,7,6,
1317,19390,1,13,
1318,19391,1,13,
1319,19392,36,4,
1320,19393,53,2,
1321,19394,1,13,
1322,19395,7,5,
1323,19396,3,11,
1324,19397,15,4,
1325,19398,16,3,
1326,19399,1,13,
1327,19400,1,13,
1328,19401,7,6,
